id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1097635496547835904,1097635496547835904,2019-02-18 17:14:30 CST,2019-02-18,17:14:30,-0500,2274251929,_shelbyashlynn,Shelby Ashlynn,,The more you let people in the more they hurt you.,en,[],[],[],0,0,1,[],[],https://twitter.com/_shelbyashlynn/status/1097635496547835904,False,,0,,san antonio,,,,,,[],,,,
1097631947373903875,1097631947373903875,2019-02-18 17:00:23 CST,2019-02-18,17:00:23,-0500,105685148,kdaddyfree,ken freeman,,"Saw over 30 Saved this past weekend, thank you for PRAYERS! Still have a headache trying to figure it out with doctors , prayers still needed , sometimes you gotta play hurt ! God is Good !",en,[],[],[],0,0,23,[],[],https://twitter.com/kdaddyfree/status/1097631947373903875,False,,0,,san antonio,,,,,,[],,,,
1097630868288483328,1097586451318013952,2019-02-18 16:56:06 CST,2019-02-18,16:56:06,-0500,4102857194,brreendaaa_,𝐵𝑟𝑒𝑛𝑑𝑎,,@esstephanyyyy Girl reading that had me dead wdym 💀💀💀,en,[],[],[],0,1,0,[],[],https://twitter.com/brreendaaa_/status/1097630868288483328,False,,0,,san antonio,,,,,,"[{'screen_name': 'esstephanyyyy', 'name': '🏳️\u200d🌈', 'id': '996907495464620032'}]",,,,
1097628078191403008,1097628078191403008,2019-02-18 16:45:01 CST,2019-02-18,16:45:01,-0500,325266108,_gcsc,Satoru Gojo,,The double text no reply is starting to hurt again 😓,en,[],[],[],0,0,6,[],[],https://twitter.com/_GCSC/status/1097628078191403008,False,,0,,san antonio,,,,,,[],,,,
1097628048063676416,1097628048063676416,2019-02-18 16:44:54 CST,2019-02-18,16:44:54,-0500,618755131,sarraaahhhh18,sarah,,how can pineapples taste so good but hurt so bad :’(,en,[],[],[],0,0,4,[],[],https://twitter.com/sarraaahhhh18/status/1097628048063676416,False,,0,,san antonio,,,,,,[],,,,
1097624241002946560,1097624241002946560,2019-02-18 16:29:46 CST,2019-02-18,16:29:46,-0500,556480805,gabigalore,muñeca,,who said romance is dead  https://t.co/GX1ToUqhkQ,en,[],[],['https://pbs.twimg.com/media/DzuLbbbWkAA6YwZ.jpg'],0,0,3,[],[],https://twitter.com/gabigalore/status/1097624241002946560,False,,1,https://pbs.twimg.com/media/DzuLbbbWkAA6YwZ.jpg,san antonio,,,,,,[],,,,
1097624058110377984,1097541251908452360,2019-02-18 16:29:02 CST,2019-02-18,16:29:02,-0500,2742539690,rwinfield16,Ryan,,@USCCA I think so. My grandfather started myself and my older cousins young. Taught us to respect the weapon and how to safely operate one so we would not hurt ourself or others and so we could have fun shooting,en,[],[],[],1,0,0,[],[],https://twitter.com/rwinfield16/status/1097624058110377984,False,,0,,san antonio,,,,,,"[{'screen_name': 'USCCA', 'name': 'USCCA', 'id': '54653299'}]",,,,
1097619935302479879,1097619935302479879,2019-02-18 16:12:40 CST,2019-02-18,16:12:40,-0500,716712050664148993,damnitsrob,Robert,,"When the military personal ask me, hey how did you get this job. Well first, I was a Laughlin Air Force Base and when I applied to jbsa fort Sam Houston I just got transferred. Yup being in the system helps getting you a job on any base! 😂🤷🏽‍♂️",en,[],[],[],0,0,0,[],[],https://twitter.com/damnitsrob/status/1097619935302479879,False,,0,,san antonio,,,,,,[],,,,
1097619109641183233,1097619109641183233,2019-02-18 16:09:23 CST,2019-02-18,16:09:23,-0500,212607300,siege_ayyettv,Siege_AyyeTTV,"{'type': 'Point', 'coordinates': [29.38416667, -98.58111111]}",The trench coats are actually pretty cool. 😎🇺🇸 @ Lackland Air Force Base  https://t.co/ISHBFrHfPv,en,[],['https://www.instagram.com/p/BuChPbkF5A1Mk1SFbZnXivNfnBxe9m46-_O4ZY0/?utm_source=ig_twitter_share&igshid=p0scl8wz72km'],[],0,0,0,[],[],https://twitter.com/Siege_AyyeTTV/status/1097619109641183233,False,,0,,san antonio,,,,,,[],,,,
1097615383173959682,1097615383173959682,2019-02-18 15:54:34 CST,2019-02-18,15:54:34,-0500,2289742706,rodriguezdesiii,des 🤍,,Christians sister got a bully and he’s too cute :(,en,[],[],[],0,0,0,[],[],https://twitter.com/rodriguezdesiii/status/1097615383173959682,False,,0,,san antonio,,,,,,[],,,,
1097610701936447490,1097610701936447490,2019-02-18 15:35:58 CST,2019-02-18,15:35:58,-0500,533969928,briangute27,OG Tamale King,,"You just a soft ass nigga. This is a good way to tech him not to kick in school, which was why he was in trouble. My brother had to do 500 push-ups for slamming a door. Best believe he didn’t slam no door after that. It’s teaching him a lesson. I support it 💯 percent.",en,[],[],[],2,3,7,[],[],https://twitter.com/BrianGute27/status/1097610701936447490,False,https://twitter.com/LordBalvin/status/1097179508120174592,0,,san antonio,,,,,,[],,,,
1097608675802386443,1097608675802386443,2019-02-18 15:27:55 CST,2019-02-18,15:27:55,-0500,2904742956,_gwalamoney,GwalaStuntOnEm,,"A lot of y’all hoes play victim in a lot of situations, y’all ain’t no different. Stop all that actin shit 💯",en,[],[],[],0,0,0,[],[],https://twitter.com/_GwalaMoney/status/1097608675802386443,False,,0,,san antonio,,,,,,[],,,,
1097601730219593731,1097601730219593731,2019-02-18 15:00:19 CST,2019-02-18,15:00:19,-0500,96056919,bornforthefame,•mario•,,I will never understand why some people in general think it’s cute to play the victim after you clearly are the one poking and poking at someone. Then when that person serves it back you cry. Grow up. Seriously what is this high school bs.,en,[],[],[],0,0,1,[],[],https://twitter.com/BornfortheFame/status/1097601730219593731,False,,0,,san antonio,,,,,,[],,,,
