id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1295870944053846016,1295789941784489985,2020-08-18 18:51:23 CDT,2020-08-18,18:51:23,-0500,38868439,columbustrey,Columbus Trey,,@HoodieLMJ @Cam_Andersen32 @A1AatSunset @usatodaysports Lmfao that's even worse than getting injured during a massage,en,[],[],[],0,0,2,[],[],https://twitter.com/ColumbusTrey/status/1295870944053846016,False,,0,,los angeles,,,,,,"[{'screen_name': 'Cam_Andersen32', 'name': 'Jim', 'id': '713060111833546752'}, {'screen_name': 'usatodaysports', 'name': 'USA TODAY Sports', 'id': '15764001'}]",,,,
1295869773880815617,1295869773880815617,2020-08-18 18:46:44 CDT,2020-08-18,18:46:44,-0500,1266040873428545536,seanogr22401556,Sean OGrady,,While our lovely representatives in Washington play games and go back and forth they've cut off money to the entire nation. Gun / fun / fun ... like a chess game it's all fun and they're on vacation !!!  Welcome to the good 'ol coRRupt USA.,en,[],[],[],0,0,0,[],[],https://twitter.com/SeanOGr22401556/status/1295869773880815617,False,,0,,los angeles,,,,,,[],,,,
1295869248946880516,1295869248946880516,2020-08-18 18:44:39 CDT,2020-08-18,18:44:39,-0500,141086619,dennispastorizo,D E N N I S  P A S T O R I ZO,,In WTH news: #WelcomeToSweetiePie's' Owner Charged with Conspiracy in Nephew's Murder  https://t.co/StKhHPyqxO,en,[],['https://www.tmz.com/2020/08/18/welcome-to-sweetie-pies-owner-arrested-murder-for-hire-nephew-andre-montgomery/'],[],0,1,1,['welcometosweetiepie'],[],https://twitter.com/dennispastorizo/status/1295869248946880516,False,,0,,los angeles,,,,,,[],,,,
1295868955001856001,1295868955001856001,2020-08-18 18:43:29 CDT,2020-08-18,18:43:29,-0500,86254837,cesardlatorre,Cesar D' La Torre,"{'type': 'Point', 'coordinates': [34.0564, -118.2445]}",Amigos (as) Aca les dejo una de mis escenas de la Película Assassin 33 ya en amazonprimevideo ✌️ • Hey friends Here is a scene of the Movie Assassin 33 available on amazonprimevideo ✌️ • #actorlife #actores…  https://t.co/rP9e13Z8Zy,es,[],['https://www.instagram.com/p/CEDKxsNhD7J/?igshid=1aac9j3lyu4zh'],[],0,0,0,"['actorlife', 'actores']",[],https://twitter.com/cesardlatorre/status/1295868955001856001,False,,0,,los angeles,,,,,,[],,,,
1295868555812933633,1295868555812933633,2020-08-18 18:41:54 CDT,2020-08-18,18:41:54,-0500,1544473285,lojomedia,Laurantine,,“Make America arrest the cops who killed Breonna Taylor.” 🙏🏾,en,[],[],[],1,1,2,[],[],https://twitter.com/LoJoMedia/status/1295868555812933633,False,https://twitter.com/Lakers/status/1295862583979737088,0,,los angeles,,,,,,[],,,,
1295868171614748673,1295868171614748673,2020-08-18 18:40:22 CDT,2020-08-18,18:40:22,-0500,2998658360,ruelgolden,Golden Ruel,,"Amazing how CON DON went after Kamala Harris, Corey Booker and Michele Obama! Does anybody with deduction skills see the underlying theme?  He claims he is not a racist but he constantly Paints Himself as one! Then aides say you better pardon Susan B Anthony to offset the damage!",en,[],[],[],0,1,2,[],[],https://twitter.com/RuelGolden/status/1295868171614748673,False,,0,,los angeles,,,,,,[],,,,
1295866845736574977,1295866845736574977,2020-08-18 18:35:06 CDT,2020-08-18,18:35:06,-0500,1049049672,mystdiva,Myst,,My patients been screaming bloody murder for an hour and a half straight,en,[],[],[],1,0,0,[],[],https://twitter.com/mystdiva/status/1295866845736574977,False,,0,,los angeles,,,,,,[],,,,
1295866104288432129,1295866104288432129,2020-08-18 18:32:09 CDT,2020-08-18,18:32:09,-0500,829572431010369536,john_al_johnson,John Johnson,,"Don’t forget that Fauci also has to have permission to go on tv and is coached to stay on message.  That is until January 20, 2021 when the trump crime family is OUT!",en,[],[],[],0,0,0,[],[],https://twitter.com/John_Al_Johnson/status/1295866104288432129,False,https://twitter.com/ashlie_weeks/status/1295487375615942658,0,,los angeles,,,,,,[],,,,
1295865248742744064,1295865248742744064,2020-08-18 18:28:45 CDT,2020-08-18,18:28:45,-0500,2488639729,therideshareguy,Harry Campbell 🇺🇸,,"I don’t want to see Uber and Lyft leave California but it’s hard for them to play the victim card here. They have treated drivers like shit for years and now it’s too late. But sure, blame over regulation instead of taking some self responsibility.  Note I'm against ab5.",en,[],[],[],5,2,12,[],[],https://twitter.com/TheRideshareGuy/status/1295865248742744064,False,https://twitter.com/jefffluhr/status/1295792916472795137,0,,los angeles,,,,,,[],,,,
1295865185496784896,1295865185496784896,2020-08-18 18:28:30 CDT,2020-08-18,18:28:30,-0500,1027384394,ctsvideomag,CTS Video Magazine,,The #Racist Origins of U.S. #Law  https://t.co/KzzzDoF519 via @YouTube #BLM,en,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/FFebp7GZeHY'],[],0,0,0,"['racist', 'law', 'blm']",[],https://twitter.com/CTSVideoMag/status/1295865185496784896,False,,0,,los angeles,,,,,,[],,,,
